{'it': 0, 'loss': 0.685, 'pred_iou': 0.0, 't': 0.9}
{'it': 200, 'loss': 0.294, 'pred_iou': 0.0, 't': 24.4}
{'it': 400, 'loss': 0.316, 'pred_iou': 0.0, 't': 48.5}
{'it': 600, 'loss': 0.2, 'pred_iou': 0.04, 't': 72.2}
{'it': 800, 'loss': 0.246, 'pred_iou': 0.074, 't': 96.1}
{'it': 1000, 'loss': 0.286, 'pred_iou': 0.111, 't': 119.4}
{'it': 1200, 'loss': 0.211, 'pred_iou': 0.128, 't': 143.1}
{'it': 1400, 'loss': 0.258, 'pred_iou': 0.103, 't': 166.9}
{'it': 1600, 'loss': 0.162, 'pred_iou': 0.235, 't': 190.7}
{'it': 1800, 'loss': 0.167, 'pred_iou': 0.256, 't': 214.7}
{'it': 2000, 'loss': 0.215, 'pred_iou': 0.248, 't': 238.6}
{'it': 2200, 'loss': 0.131, 'pred_iou': 0.146, 't': 262.5}
{'it': 2400, 'loss': 0.178, 'pred_iou': 0.265, 't': 286.1}
{'it': 2600, 'loss': 0.155, 'pred_iou': 0.324, 't': 310.1}
{'it': 2800, 'loss': 0.153, 'pred_iou': 0.33, 't': 333.6}
{'it': 3000, 'loss': 0.168, 'pred_iou': 0.288, 't': 357.4}
{'it': 3200, 'loss': 0.172, 'pred_iou': 0.32, 't': 381.3}
{'it': 3400, 'loss': 0.145, 'pred_iou': 0.275, 't': 405.0}
{'it': 3600, 'loss': 0.144, 'pred_iou': 0.342, 't': 428.7}
{'it': 3800, 'loss': 0.132, 'pred_iou': 0.351, 't': 452.4}
{'it': 4000, 'loss': 0.143, 'pred_iou': 0.415, 't': 476.4}
{'it': 4200, 'loss': 0.152, 'pred_iou': 0.401, 't': 500.4}
{'it': 4400, 'loss': 0.17, 'pred_iou': 0.372, 't': 524.1}
{'it': 4600, 'loss': 0.124, 'pred_iou': 0.414, 't': 547.6}
{'it': 4800, 'loss': 0.136, 'pred_iou': 0.396, 't': 571.4}
{'it': 5000, 'loss': 0.091, 'pred_iou': 0.477, 't': 595.4}
{'it': 5200, 'loss': 0.125, 'pred_iou': 0.537, 't': 619.3}
{'it': 5400, 'loss': 0.126, 'pred_iou': 0.501, 't': 643.7}
{'it': 5600, 'loss': 0.11, 'pred_iou': 0.387, 't': 667.5}
{'it': 5800, 'loss': 0.129, 'pred_iou': 0.391, 't': 692.6}
{'it': 6000, 'loss': 0.103, 'pred_iou': 0.407, 't': 716.3}
{'it': 6200, 'loss': 0.128, 'pred_iou': 0.48, 't': 740.1}
{'it': 6400, 'loss': 0.127, 'pred_iou': 0.488, 't': 763.9}
{'it': 6600, 'loss': 0.121, 'pred_iou': 0.474, 't': 787.4}
{'it': 6800, 'loss': 0.097, 'pred_iou': 0.514, 't': 811.7}
{'it': 7000, 'loss': 0.114, 'pred_iou': 0.426, 't': 835.4}
{'it': 7200, 'loss': 0.174, 'pred_iou': 0.482, 't': 859.2}
{'it': 7400, 'loss': 0.108, 'pred_iou': 0.553, 't': 883.1}
{'it': 7600, 'loss': 0.09, 'pred_iou': 0.379, 't': 907.1}
{'it': 7800, 'loss': 0.139, 'pred_iou': 0.523, 't': 930.7}
saved runs_video_s1/feedforward.pt train_s 954.7
